lettersIn,batchIn,wordIn,wordLengthIn,numWordsOut,numReadLettersOut,numNewLettersOut,timeOut
10,0,breathe,7,90,4,3,0.36
10,0,breathing,9,91,6,3,0.24
10,0,bride,5,92,2,3,0.24
10,0,bright,6,93,3,3,0.2
10,0,buffer,6,94,1,5,0.24
10,0,bug,3,95,2,1,0.12
10,0,burden,6,96,2,4,0.24
10,0,business,8,97,2,6,0.4
10,0,can,3,98,0,3,0.16
10,0,cap,3,99,2,1,0.08
10,0,capable,7,100,3,4,0.24
10,0,capitalist,10,101,3,7,0.44
10,0,career,6,102,2,4,0.24
10,0,carpet,6,103,3,3,0.2
10,0,cartoon,7,104,3,4,0.24
10,0,carve,5,105,3,2,0.16
10,0,cave,4,106,2,2,0.24
10,0,cease,5,107,1,4,0.2
10,0,celebrity,9,108,2,7,0.36
10,0,central,7,109,2,5,0.28
10,0,ceremony,8,110,2,6,0.4
10,0,certain,7,111,3,4,0.32
10,0,certainty,9,112,7,2,0.28
10,0,chair,5,113,1,4,0.28
10,0,character,9,114,3,6,0.44
10,0,charm,5,115,4,1,0.16
10,0,charter,7,116,4,3,0.28
10,0,check,5,117,2,3,0.2
10,0,cheerful,8,118,3,5,0.32
10,0,chicken,7,119,2,5,0.28
10,0,choir,5,120,2,3,0.24
10,0,choose,6,121,3,3,0.28
10,0,chop,4,122,3,1,0.16
10,0,chunk,5,123,2,3,0.24
10,0,circle,6,124,1,5,0.24
10,0,clarity,7,125,1,6,0.32
10,0,clean,5,126,2,3,0.2
10,0,clearly,7,127,4,3,0.28
10,0,clerk,5,128,3,2,0.16
10,0,clinical,8,129,2,6,0.32
10,0,closely,7,130,2,5,0.28
10,0,cloud,5,131,3,2,0.2
10,0,coach,5,132,1,4,0.28
10,0,collective,10,133,2,8,0.4
10,0,colony,6,134,3,3,0.2
10,0,colourful,9,135,4,5,0.36
10,0,comedy,6,136,2,4,0.24
10,0,comfort,7,137,3,4,0.24
10,0,comment,7,138,3,4,0.24
10,0,commodity,9,139,4,5,0.36
10,0,company,7,140,3,4,0.24
10,0,comparable,10,141,5,5,0.32
10,0,compassion,10,142,5,5,0.36
10,0,compensate,10,143,4,6,0.36
10,0,conceal,7,144,2,5,0.28
10,0,conceive,8,145,5,3,0.24
10,0,concert,7,146,5,2,0.24
10,0,conclusion,10,147,4,6,0.32
10,0,conduct,7,148,3,4,0.28
10,0,confer,6,149,3,3,0.28
10,0,conference,10,150,6,4,0.28
10,0,confidence,10,151,4,6,0.36
10,0,conscious,9,152,3,6,0.36
10,0,consent,7,153,4,3,0.2
10,0,consult,7,154,4,3,0.2
10,0,contempt,8,155,3,5,0.28
10,0,contrast,8,156,4,4,0.32
10,0,convenient,10,157,3,7,0.36
10,0,conversion,10,158,5,5,0.32
10,0,convey,6,159,5,1,0.16
10,0,coordinate,10,160,2,8,0.44
10,0,cope,4,161,2,2,0.16
10,0,correct,7,162,2,5,0.28
10,0,correctly,9,163,7,2,0.36
10,0,cost,4,164,2,2,0.16
10,0,cottage,7,165,2,5,0.28
10,0,could,5,166,2,3,0.2
10,0,counter,7,167,3,4,0.24
10,0,county,6,168,5,1,0.2
10,0,couple,6,169,3,3,0.2
10,0,course,6,170,3,3,0.2
10,0,court,5,171,4,1,0.12
10,0,create,6,172,1,5,0.24
10,0,credible,8,173,3,5,0.32
10,0,criminal,8,174,2,6,0.32
10,0,crisis,6,175,3,3,0.2
10,0,crowd,5,176,2,3,0.2
10,0,crude,5,177,2,3,0.24
10,0,cruise,6,178,3,3,0.2
10,0,current,7,179,1,6,0.28
10,0,cycle,5,180,1,4,0.2
10,0,darkness,8,181,0,8,0.4
10,0,december,8,182,1,7,0.32
10,0,declare,7,183,3,4,0.24
10,0,deed,4,184,2,2,0.16
10,0,default,7,185,2,5,0.36
10,0,defender,8,186,3,5,0.32
10,0,definitely,10,187,3,7,0.36
10,0,delight,7,188,2,5,0.32
10,0,delighted,9,189,7,2,0.24
10,0,deliver,7,190,4,3,0.2
10,0,dentist,7,191,2,5,0.28
10,0,depressing,10,192,2,8,0.44
10,0,deputy,6,193,3,3,0.2
10,0,desktop,7,194,2,5,0.28
10,0,detect,6,195,2,4,0.24
10,0,develop,7,196,2,5,0.36
10,0,devil,5,197,3,2,0.16
10,0,diagnosis,9,198,1,8,0.36
10,0,diagram,7,199,4,3,0.2
10,0,dictate,7,200,2,5,0.32
10,0,dictator,8,201,6,2,0.2
10,0,dig,3,202,2,1,0.08
10,0,digital,7,203,3,4,0.24
10,0,dinner,6,204,2,4,0.32
10,0,diplomatic,10,205,2,8,0.4
10,0,director,8,206,2,6,0.32
10,0,disabled,8,207,2,6,0.32
10,0,disastrous,10,208,4,6,0.44
10,0,disclosure,10,209,3,7,0.4
10,0,discovery,9,210,4,5,0.4
10,0,discretion,10,211,4,6,0.36
10,0,discussion,10,212,4,6,0.36
10,0,distribute,10,213,3,7,0.44
10,0,dollar,6,214,1,5,0.24
10,0,dot,3,215,2,1,0.08
10,0,double,6,216,2,4,0.24
10,0,downstairs,10,217,2,8,0.44
10,0,duration,8,218,1,7,0.32
10,0,dust,4,219,2,2,0.16
10,0,ear,3,220,0,3,0.16
10,0,earnings,8,221,3,5,0.28
10,0,earth,5,222,3,2,0.2
10,0,edition,7,223,1,6,0.28
10,0,effective,9,224,1,8,0.36
10,0,either,6,225,1,5,0.24
10,0,elect,5,226,1,4,0.28
10,0,electrical,10,227,5,5,0.32
10,0,eliminate,9,228,2,7,0.32
10,0,elsewhere,9,229,2,7,0.44
10,0,embark,6,230,1,5,0.24
10,0,embody,6,231,3,3,0.2
10,0,emergency,9,232,2,7,0.36
10,0,empower,7,233,2,5,0.32
10,0,enable,6,234,1,5,0.24
10,0,ending,6,235,2,4,0.24
10,0,endless,7,236,3,4,0.32
10,0,enjoy,5,237,2,3,0.24
10,0,enjoyable,9,238,5,4,0.28
10,0,enormous,8,239,2,6,0.28
10,0,enter,5,240,2,3,0.2
10,0,enterprise,10,241,5,5,0.4
10,0,entry,5,242,3,2,0.16
10,0,equality,8,243,1,7,0.32
10,0,equipment,9,244,3,6,0.4
10,0,establish,9,245,1,8,0.36
10,0,euro,4,246,1,3,0.16
10,0,evaluation,10,247,1,9,0.4
10,0,evidence,8,248,2,6,0.36
10,0,evoke,5,249,2,3,0.16
10,0,exact,5,250,1,4,0.2
10,0,exchange,8,251,2,6,0.28
10,0,excited,7,252,3,4,0.28
10,0,exciting,8,253,5,3,0.24
10,0,exclusive,9,254,3,6,0.32
10,0,exercise,8,255,2,6,0.36
10,0,exhibition,10,256,2,8,0.4
10,0,experiment,10,257,2,8,0.4
10,0,expire,6,258,3,3,0.2
10,0,exploit,7,259,3,4,0.32
10,0,extend,6,260,2,4,0.24
10,0,extent,6,261,5,1,0.16
10,0,faculty,7,262,0,7,0.32
10,0,fail,4,263,2,2,0.2
10,0,failed,6,264,4,2,0.16
10,0,failure,7,265,4,3,0.24
10,0,fasten,6,266,2,4,0.4
10,0,fear,4,267,1,3,0.4
10,0,feeding,7,268,2,5,0.72
10,0,fellow,6,269,2,4,0.52
10,0,fibre,5,270,1,4,0.48
10,0,fiction,7,271,2,5,0.72
10,0,fight,5,272,2,3,0.56
10,0,file,4,273,2,2,0.32
10,0,finally,7,274,2,5,0.64
10,0,financial,9,275,4,5,0.68
10,0,fine,4,276,3,1,0.28
10,0,fix,3,277,2,1,0.32
10,0,fixed,5,278,3,2,0.36
10,0,fixture,7,279,3,4,0.56
10,0,flat,4,280,1,3,0.36
10,0,flexible,8,281,2,6,0.68
10,0,folding,7,282,1,6,0.76
10,0,food,4,283,2,2,0.32
10,0,force,5,284,2,3,0.4
10,0,foreigner,9,285,3,6,0.76
10,0,formation,9,286,3,6,0.88
10,0,formerly,8,287,4,4,0.6
10,0,formula,7,288,4,3,0.48
10,0,forward,7,289,3,4,0.64
10,0,founder,7,290,2,5,0.6
10,0,fourteen,8,291,3,5,0.64
10,0,fridge,6,292,1,5,0.56
10,0,friendly,8,293,3,5,0.76
10,0,friendship,10,294,6,4,0.68
10,0,frightened,10,295,3,7,0.84
10,0,frog,4,296,2,2,0.32
10,0,full,4,297,1,3,0.48
10,0,fur,3,298,2,1,0.24
10,0,gallon,6,299,0,6,0.6
10,0,game,4,300,2,2,0.32
10,0,general,7,301,1,6,0.64
10,0,generally,9,302,7,2,0.6
10,0,generate,8,303,6,2,0.48
10,0,genetic,7,304,4,3,0.48
10,0,genuinely,9,305,3,6,0.84
10,0,geography,9,306,2,7,0.8
10,0,god,3,307,1,2,0.28
10,0,goodbye,7,308,2,5,0.6
10,0,govern,6,309,2,4,0.52
10,0,graphics,8,310,1,7,0.84
10,0,grin,4,311,2,2,0.32
10,0,growth,6,312,2,4,0.52
10,0,guest,5,313,1,4,0.48
10,0,guidance,8,314,2,6,0.8
10,0,guide,5,315,4,1,0.32
10,0,gym,3,316,1,2,0.28
10,0,handful,7,317,0,7,0.72
10,0,handy,5,318,4,1,0.32
10,0,harm,4,319,2,2,0.44
10,0,harvest,7,320,3,4,0.56
10,0,hazard,6,321,2,4,0.52
10,0,headline,8,322,1,7,0.76
10,0,herb,4,323,2,2,0.32
10,0,hesitate,8,324,2,6,0.8
10,0,highlight,9,325,1,8,0.84
10,0,highly,6,326,5,1,0.36
10,0,hint,4,327,2,2,0.32
10,0,historical,10,328,2,8,1
10,0,homeland,8,329,1,7,0.84
10,0,honesty,7,330,2,5,0.6
10,0,horror,6,331,2,4,0.6
10,0,however,7,332,2,5,0.6
10,0,humble,6,333,1,5,0.56
10,0,humour,6,334,3,3,0.44
10,0,hunger,6,335,2,4,0.6
10,0,hunt,4,336,3,1,0.28
10,0,hurricane,9,337,2,7,0.8
10,0,i,1,338,0,1,0.16
10,0,icon,4,339,1,3,0.4
10,0,ignorance,9,340,1,8,0.96
10,0,illegal,7,341,1,6,0.68
10,0,image,5,342,1,4,0.48
10,0,imagery,7,343,5,2,0.44
10,0,implement,9,344,2,7,0.88
10,0,import,6,345,3,3,0.48
10,0,inclusion,9,346,1,8,0.84
10,0,incur,5,347,3,2,0.36
10,0,indirect,8,348,2,6,0.8
10,0,infant,6,349,2,4,0.52
10,0,inform,6,350,3,3,0.44
10,0,inherent,8,351,2,6,0.68
10,0,initiate,8,352,2,6,0.8
10,0,injury,6,353,2,4,0.52
10,0,instant,7,354,2,5,0.64
10,0,instruct,8,355,4,4,0.6
10,0,instrument,10,356,6,4,0.76
10,0,intake,6,357,2,4,0.52
10,0,integral,8,358,3,5,0.64
10,0,intense,7,359,4,3,0.6
10,0,into,4,360,3,1,0.28
10,0,invade,6,361,2,4,0.52
10,0,invest,6,362,3,3,0.48
10,0,involve,7,363,3,4,0.6
10,0,involved,8,364,7,1,0.52
10,0,iron,4,365,1,3,0.4
10,0,isolated,8,366,1,7,0.76
10,0,issue,5,367,2,3,0.4
10,0,jewellery,9,368,0,9,1
10,0,job,3,369,1,2,0.28
10,0,journalism,10,370,2,8,0.88
10,0,joy,3,371,2,1,0.24
10,0,judicial,8,372,1,7,0.84
10,0,justify,7,373,2,5,0.6
10,0,key,3,374,0,3,0.32
10,0,kick,4,375,1,3,0.36
10,0,kid,3,376,2,1,0.24
10,0,king,4,377,2,2,0.32
10,0,knife,5,378,1,4,0.6
10,0,lack,4,379,0,4,0.44
10,0,lad,3,380,2,1,0.24
10,0,landmark,8,381,2,6,0.72
10,0,lap,3,382,2,1,0.24
10,0,last,4,383,2,2,0.4
10,0,latest,6,384,2,4,0.52
10,0,lawn,4,385,2,2,0.32
10,0,leading,7,386,1,6,0.68
10,0,leaflet,7,387,3,4,0.56
10,0,legend,6,388,2,4,0.6
10,0,legendary,9,389,6,3,0.56
10,0,legitimate,10,390,3,7,0.84
10,0,letter,6,391,2,4,0.6
10,0,licence,7,392,1,6,0.64
10,0,lie,3,393,2,1,0.24
10,0,lifestyle,9,394,2,7,0.8
10,0,likelihood,10,395,2,8,0.96
10,0,limb,4,396,2,2,0.32
10,0,literature,10,397,2,8,0.88
10,0,little,6,398,3,3,0.44
10,0,long,4,399,1,3,0.48
10,0,loose,5,400,2,3,0.4
10,0,lot,3,401,2,1,0.24
10,0,low,3,402,2,1,0.24
10,0,machinery,9,403,0,9,0.88
10,0,mainland,8,404,2,6,0.8
10,0,mandate,7,405,2,5,0.6
10,0,manuscript,10,406,3,7,0.84
10,0,mask,4,407,2,2,0.32
10,0,meaningful,10,408,1,9,1.04
10,0,mechanical,10,409,2,8,0.88
10,0,media,5,410,2,3,0.4
10,0,medication,10,411,4,6,0.88
10,0,meeting,7,412,2,5,0.64
10,0,melody,6,413,2,4,0.56
10,0,mental,6,414,2,4,0.52
10,0,mentor,6,415,4,2,0.52
10,0,mess,4,416,2,2,0.32
10,0,mind,4,417,1,3,0.36
10,0,mirror,6,418,2,4,0.52
10,0,miserable,9,419,2,7,0.8
10,0,misleading,10,420,3,7,0.92
10,0,missing,7,421,3,4,0.56
10,0,mixed,5,422,2,3,0.4
10,0,mobilize,8,423,1,7,0.84
10,0,modify,6,424,2,4,0.52
10,0,moment,6,425,2,4,0.52
10,0,money,5,426,2,3,0.44
10,0,monument,8,427,3,5,0.72
10,0,movie,5,428,2,3,0.44
10,0,much,4,429,1,3,0.4
10,0,multiple,8,430,2,6,0.68
10,0,municipal,9,431,2,7,0.8
10,0,music,5,432,2,3,0.52
10,0,naked,5,433,0,5,0.52
10,0,nasty,5,434,2,3,0.4
10,0,nature,6,435,2,4,0.52
10,0,necessary,9,436,1,8,1
10,0,neck,4,437,3,1,0.28
10,0,needle,6,438,2,4,0.6
10,0,neutral,7,439,2,5,0.68
10,0,new,3,440,2,1,0.24
10,0,night,5,441,1,4,0.6
10,0,noisy,5,442,1,4,0.48
10,0,north,5,443,2,3,0.44
10,0,northern,8,444,5,3,0.56
10,0,not,3,445,2,1,0.24
10,0,notion,6,446,3,3,0.56
10,0,numerous,8,447,1,7,0.76
10,0,nut,3,448,2,1,0.24
10,0,oblige,6,449,0,6,0.64
10,0,occupation,10,450,1,9,1.12
10,0,ocean,5,451,2,3,0.52
10,0,october,7,452,2,5,0.76
10,0,off,3,453,1,2,0.36
10,0,offence,7,454,3,4,0.6
10,0,offend,6,455,5,1,0.52
10,0,offensive,9,456,5,4,0.72
10,0,official,8,457,3,5,0.72
10,0,opponent,8,458,1,7,0.88
10,0,opposed,7,459,4,3,0.56
10,0,other,5,460,1,4,0.48
10,0,ought,5,461,1,4,0.48
10,0,outbreak,8,462,2,6,0.84
10,0,outdoor,7,463,3,4,0.68
10,0,outdoors,8,464,7,1,0.44
10,0,outing,6,465,3,3,0.48
10,0,outlet,6,466,3,3,0.56
10,0,outlook,7,467,4,3,0.52
10,0,oversee,7,468,1,6,0.68
10,0,owe,3,469,1,2,0.32
10,0,pace,4,470,0,4,0.52
10,0,pad,3,471,2,1,0.28
10,0,page,4,472,2,2,0.48
10,0,painful,7,473,2,5,0.64
10,0,palace,6,474,2,4,0.64
10,0,pants,5,475,2,3,0.44
10,0,parade,6,476,2,4,0.56
10,0,park,4,477,3,1,0.36
10,0,partial,7,478,3,4,0.6
10,0,particular,10,479,5,5,0.76
10,0,partner,7,480,4,3,0.56
10,0,passenger,9,481,2,7,0.92
10,0,password,8,482,4,4,0.44
10,0,patent,6,483,2,4,0.6
10,0,patron,6,484,3,3,0.28
10,0,pause,5,485,2,3,0.2
10,0,peaceful,8,486,1,7,0.32
10,0,peer,4,487,2,2,0.16
10,0,perceive,8,488,2,6,0.32
10,0,perfect,7,489,3,4,0.32
10,0,perhaps,7,490,3,4,0.24
10,0,personnel,9,491,3,6,0.32
10,0,phone,5,492,1,4,0.2
10,0,photo,5,493,3,2,0.24
10,0,pick,4,494,1,3,0.16
10,0,piece,5,495,2,3,0.2
10,0,pig,3,496,2,1,0.08
10,0,pin,3,497,2,1,0.08
10,0,pioneer,7,498,2,5,0.32
10,0,plane,5,499,1,4,0.2
10,0,plastic,7,500,3,4,0.24
10,0,play,4,501,3,1,0.12
10,0,plead,5,502,2,3,0.16
10,0,pleased,7,503,4,3,0.28
10,0,point,5,504,1,4,0.2
10,0,political,9,505,2,7,0.32
10,0,pond,4,506,2,2,0.16
10,0,population,10,507,2,8,0.44
10,0,portion,7,508,2,5,0.28
10,0,position,8,509,2,6,0.28
10,0,possible,8,510,3,5,0.28
10,0,poster,6,511,3,3,0.28
10,0,practical,9,512,1,8,0.36
10,0,prayer,6,513,3,3,0.2
10,0,precedent,9,514,2,7,0.4
10,0,predict,7,515,3,4,0.24
10,0,prediction,10,516,7,3,0.28
10,0,premise,7,517,3,4,0.24
10,0,presently,9,518,3,6,0.4
10,0,previously,10,519,3,7,0.36
10,0,principal,9,520,2,7,0.36
10,0,principle,9,521,7,2,0.28
10,0,printing,8,522,4,4,0.28
10,0,prior,5,523,3,2,0.16
10,0,produce,7,524,2,5,0.28
10,0,profile,7,525,3,4,0.28
10,0,project,7,526,3,4,0.24
10,0,prominent,9,527,3,6,0.32
10,0,propose,7,528,3,4,0.28
10,0,prosperity,10,529,3,7,0.36
10,0,protest,7,530,3,4,0.24
10,0,protester,9,531,7,2,0.24
10,0,purpose,7,532,1,6,0.36
10,0,push,4,533,2,2,0.12
10,0,quality,7,534,0,7,0.32
10,0,query,5,535,2,3,0.16
10,0,quite,5,536,2,3,0.2
10,0,racism,6,537,0,6,0.36
10,0,railway,7,538,2,5,0.28
10,0,raise,5,539,3,2,0.16
10,0,rating,6,540,2,4,0.2
10,0,react,5,541,1,4,0.28
10,0,realistic,9,542,3,6,0.32
10,0,rebel,5,543,2,3,0.16
10,0,recall,6,544,2,4,0.2
10,0,reception,9,545,3,6,0.4
10,0,recognize,9,546,3,6,0.32
10,0,record,6,547,4,2,0.2
10,0,recording,9,548,6,3,0.32
10,0,recount,7,549,4,3,0.2
10,0,reduce,6,550,2,4,0.24
10,0,reduction,9,551,5,4,0.28
10,0,refer,5,552,2,3,0.16
10,0,reference,9,553,5,4,0.36
10,0,refuse,6,554,3,3,0.2
10,0,regional,8,555,2,6,0.32
10,0,regulatory,10,556,3,7,0.4
10,0,reign,5,557,2,3,0.2
10,0,rejection,9,558,2,7,0.36
10,0,relative,8,559,2,6,0.32
10,0,relax,5,560,4,1,0.2
10,0,relevance,9,561,3,6,0.32
10,0,relief,6,562,3,3,0.2
10,0,remainder,9,563,2,7,0.4
10,0,removal,7,564,3,4,0.24
10,0,renew,5,565,2,3,0.16
10,0,replace,7,566,2,5,0.28
10,0,reporting,9,567,3,6,0.36
10,0,republic,8,568,3,5,0.28
10,0,research,8,569,2,6,0.32
10,0,residence,9,570,3,6,0.32
10,0,respective,10,571,3,7,0.44
10,0,rest,4,572,3,1,0.12
10,0,retire,6,573,2,4,0.24
10,0,retirement,10,574,6,4,0.36
10,0,revenge,7,575,2,5,0.28
10,0,rifle,5,576,1,4,0.2
10,0,right,5,577,2,3,0.16
10,0,ritual,6,578,2,4,0.24
10,0,rival,5,579,2,3,0.24
10,0,road,4,580,1,3,0.16
10,0,rob,3,581,2,1,0.08
10,0,robbery,7,582,3,4,0.24
10,0,robust,6,583,3,3,0.2
10,0,roll,4,584,2,2,0.12
10,0,romance,7,585,2,5,0.32
10,0,rotate,6,586,2,4,0.24
10,0,rough,5,587,2,3,0.2
10,0,round,5,588,3,2,0.16
10,0,routine,7,589,3,4,0.32
10,0,rubber,6,590,1,5,0.24
10,0,rubbish,7,591,4,3,0.2
10,0,ruin,4,592,2,2,0.16
10,0,sailor,6,593,0,6,0.28
10,0,salt,4,594,2,2,0.2
10,0,schedule,8,595,1,7,0.32
10,0,scheme,6,596,4,2,0.16
10,0,school,6,597,3,3,0.2
10,0,score,5,598,2,3,0.24
10,0,seal,4,599,1,3,0.16
10,0,secretary,9,600,2,7,0.36
10,0,secure,6,601,3,3,0.2
10,0,security,8,602,5,3,0.32
10,0,seem,4,603,2,2,0.12
10,0,segment,7,604,2,5,0.28
10,0,sensible,8,605,2,6,0.32
10,0,serious,7,606,2,5,0.32
10,0,seriously,9,607,7,2,0.24
10,0,servant,7,608,3,4,0.24
10,0,serve,5,609,4,1,0.12
10,0,settlement,10,610,2,8,0.44
10,0,sexual,6,611,2,4,0.24
10,0,sheer,5,612,1,4,0.2
10,0,shell,5,613,3,2,0.16
10,0,shiny,5,614,2,3,0.16
10,0,ship,4,615,3,1,0.16
10,0,shipping,8,616,4,4,0.24
10,0,shopping,8,617,2,6,0.56
10,0,shortage,8,618,3,5,0.68
10,0,shortly,7,619,5,2,0.44
10,0,silver,6,620,1,5,0.32
10,0,similarly,9,621,2,7,0.36
10,0,sin,3,622,2,1,0.08
10,0,singing,7,623,3,4,0.28
10,0,sink,4,624,3,1,0.12
10,0,sit,3,625,2,1,0.08
10,0,situated,8,626,3,5,0.28
10,0,six,3,627,2,1,0.08
10,0,ski,3,628,1,2,0.12
10,0,skip,4,629,3,1,0.2
10,0,slam,4,630,1,3,0.16
10,0,slice,5,631,2,3,0.2
10,0,smoking,7,632,1,6,0.32
10,0,soap,4,633,1,3,0.16
10,0,solar,5,634,2,3,0.28
10,0,some,4,635,2,2,0.16
10,0,somehow,7,636,4,3,0.2
10,0,soup,4,637,2,2,0.12
10,0,space,5,638,1,4,0.2
10,0,special,7,639,2,5,0.32
10,0,specialist,10,640,7,3,0.4
10,0,specify,7,641,5,2,0.44
10,0,spread,6,642,2,4,0.52
10,0,stable,6,643,1,5,0.76
10,0,stall,5,644,3,2,0.36
10,0,stand,5,645,3,2,0.36
10,0,star,4,646,3,1,0.28
10,0,statistic,9,647,3,6,0.76
10,0,stay,4,648,3,1,0.36
10,0,steer,5,649,2,3,0.4
10,0,stem,4,650,3,1,0.28
10,0,stereotype,10,651,3,7,0.84
10,0,stick,5,652,2,3,0.44
10,0,sticky,6,653,5,1,0.44
10,0,stop,4,654,2,2,0.32
10,0,store,5,655,3,2,0.36
10,0,straight,8,656,2,6,0.72
10,0,strange,7,657,4,3,0.6
10,0,strategic,9,658,4,5,0.68
10,0,stretch,7,659,3,4,0.56
10,0,strike,6,660,3,3,0.48
10,0,striking,8,661,5,3,0.64
10,0,string,6,662,4,2,0.4
10,0,stun,4,663,2,2,0.32
10,0,substance,9,664,1,8,0.84
10,0,successful,10,665,2,8,1.04
10,0,sudden,6,666,2,4,0.6
10,0,sufficient,10,667,2,8,1.08
10,0,sugar,5,668,2,3,0.48
10,0,super,5,669,2,3,0.56
10,0,suppose,7,670,3,4,0.6
10,0,sure,4,671,2,2,0.32
10,0,suspension,10,672,2,8,0.96
10,0,swear,5,673,1,4,0.6
10,0,sweep,5,674,3,2,0.36
10,0,switch,6,675,2,4,0.52
10,0,symbolic,8,676,1,7,0.8
10,0,synthesis,9,677,2,7,1.12
10,0,tale,4,678,0,4,0.44
10,0,talk,4,679,3,1,0.28
10,0,tape,4,680,2,2,0.32
10,0,tea,3,681,1,2,0.28
10,0,team,4,682,3,1,0.32
10,0,tempt,5,683,2,3,0.64
10,0,terrify,7,684,2,5,0.68
10,0,terror,6,685,4,2,0.4
10,0,terrorism,9,686,6,3,0.6
10,0,texture,7,687,2,5,0.72
10,0,thereafter,10,688,1,9,0.96
10,0,thereby,7,689,5,2,0.52
10,0,thirsty,7,690,2,5,0.72
10,0,thoughtful,10,691,2,8,1
10,0,three,5,692,2,3,0.4
10,0,ticket,6,693,1,5,0.64
10,0,till,4,694,2,2,0.32
10,0,tolerance,9,695,1,8,0.96
10,0,tool,4,696,2,2,0.32
10,0,tour,4,697,2,2,0.36
10,0,tragic,6,698,1,5,0.6
10,0,trap,4,699,3,1,0.32
10,0,traveller,9,700,3,6,0.92
10,0,treat,5,701,2,3,0.44
10,0,trial,5,702,2,3,0.44
10,0,tribal,6,703,3,3,0.48
10,0,tropical,8,704,2,6,0.84
10,0,trousers,8,705,3,5,0.64
10,0,truck,5,706,2,3,0.44
10,0,twice,5,707,1,4,0.48
10,0,unable,6,708,0,6,0.8
10,0,underwear,9,709,2,7,0.8
10,0,unify,5,710,2,3,0.44
10,0,unique,6,711,3,3,0.48
10,0,universal,9,712,3,6,0.84
10,0,until,5,713,2,3,0.44
10,0,unusual,7,714,2,5,0.6
10,0,unveil,6,715,2,4,0.52
10,0,uphold,6,716,1,5,0.68
