where,cue,feature,translated,frequency_feature,frequency_translated,n,normalized_feature,normalized_translated,pos_cue,pos_feature,pos_translated,a1,a2,a3,FSG,BSG,word_list,school_code
b,accumulative,adds,add,2,10,50,4,20,adjective,verb,verb,numbers,0,0,NA,NA,wl3,1
b,accumulative,over,over,11,11,50,22,22,adjective,other,other,0,0,0,NA,NA,wl3,1
b,accumulative,time,time,10,10,50,20,20,adjective,noun,noun,0,0,0,NA,NA,wl3,1
b,accumulative,together,together,7,7,50,14,14,adjective,other,other,0,0,0,NA,NA,wl3,1
b,accumulative,up,up,13,13,50,26,26,adjective,other,other,0,0,0,NA,NA,wl3,1
b,accurate,correct,correct,29,29,59,49.15254237,49.15254237,adjective,adjective,adjective,0,0,0,0.215,0,wl2,1
b,accurate,exact,exact,13,13,59,22.03389831,22.03389831,adjective,adjective,adjective,0,0,0,0.027,0,wl2,1
b,accurate,point,point,8,8,59,13.55932203,13.55932203,adjective,noun,noun,0,0,0,NA,NA,wl2,1
b,accurate,precise,precise,32,32,59,54.23728814,54.23728814,adjective,adjective,adjective,0,0,0,0.134,0.167,wl2,1
b,accurate,right,right,17,17,59,28.81355932,28.81355932,adjective,adjective,adjective,0,0,0,0.168,0,wl2,1
b,accuse,blame,blame,25,26,71,35.21126761,36.61971831,verb,verb,verb,0,0,0,0.159,0.185,wl13,3
b,accuse,blaming,blame,1,26,71,1.408450704,36.61971831,verb,verb,verb,present_participle,0,0,0.159,0.185,wl13,3
b,accuse,court,court,5,5,71,7.042253521,7.042253521,verb,noun,noun,0,0,0,0.03,0,wl13,3
b,accuse,guilt,guilt,1,6,71,1.408450704,8.450704225,verb,noun,noun,0,0,0,0.038,0,wl13,3
b,accuse,guilty,guilt,5,6,71,7.042253521,8.450704225,verb,adjective,noun,characteristic,0,0,0.098,0,wl13,3
b,accuse,law,law,4,5,71,5.633802817,7.042253521,verb,noun,noun,0,0,0,NA,NA,wl13,3
b,accuse,lawyer,law,1,5,71,1.408450704,7.042253521,verb,noun,noun,person_object,0,0,0.03,0,wl13,3
b,accuse,point,point,4,5,71,5.633802817,7.042253521,verb,noun,noun,0,0,0,0.03,0,wl13,3
b,accuse,pointing,point,1,5,71,1.408450704,7.042253521,verb,verb,noun,present_participle,0,0,0.03,0,wl13,3
b,ace,1,one,1,9,30,3.333333333,30,noun,noun,adjective,0,0,0,0.014,0,mturk2,5
b,ace,card,card,18,30,30,60,100,noun,noun,noun,0,0,0,NA,NA,mturk2,5
b,ace,cards,card,12,30,30,40,100,noun,noun,noun,numbers,0,0,0.303,0,mturk2,5
b,ace,deck,deck,11,11,30,36.66666667,36.66666667,noun,noun,noun,0,0,0,NA,NA,mturk2,5
b,ace,highest,high,5,5,30,16.66666667,16.66666667,noun,adjective,adjective,magnitude,0,0,NA,NA,mturk2,5
b,ace,one,one,8,9,30,26.66666667,30,noun,adjective,adjective,0,0,0,0.014,0,mturk2,5
b,ace,playing,play,5,5,30,16.66666667,16.66666667,noun,verb,verb,present_participle,0,0,NA,NA,mturk2,5
v,ache,action,act,1,1,20,5,5,verb,noun,noun,actions_process,0,0,NA,NA,NA,NA
v,ache,animal,animal,1,1,20,5,5,verb,noun,noun,0,0,0,NA,NA,NA,NA
v,ache,annoy,annoy,2,2,20,10,10,verb,verb,verb,0,0,0,NA,NA,NA,NA
v,ache,blood,blood,1,1,20,5,5,verb,noun,noun,0,0,0,NA,NA,NA,NA
v,ache,body,body,6,6,20,30,30,verb,noun,noun,0,0,0,NA,NA,NA,NA
v,ache,bone,bone,1,1,20,5,5,verb,noun,noun,0,0,0,NA,NA,NA,NA
v,ache,break,break,1,1,20,5,5,verb,verb,verb,0,0,0,NA,NA,NA,NA
v,ache,constant,constant,2,2,20,10,10,verb,adjective,adjective,0,0,0,NA,NA,NA,NA
